,siret
9077488,33207572000026
49628772,50100794200029
71583598,87879611900021
9826650,33430775800014
20410568,38968066100037
6122570,32232119100056
38373827,44182398600035
58818276,75087781300022
50348565,50375087900010
72031303,88252585000013
8104247,32909850300058
72704759,89060002600011
30159539,41845877400019
68293448,82958454900010
2053431,30170352600014
52936551,51831354900033
31376536,42128507300019
7649475,32764925700034
69026216,83389145000011
73824385,90352738000013
29208437,41423846900012
21562207,39235641600017
34680081,43150630200014
46807842,49033775500014
73420575,89933824800011
38711097,44259299400010
70009239,84219896200016
71943252,88177952400019
53723752,52158142100018
70254655,84389295100016
29706829,41535867000016
10512210,33829225300014
33667530,42886757600012
66803098,81997529300013
51841598,51187494300018
13109002,34535797400012
18561424,38352855100021
14989925,35220431700031
64356792,80438454300026
39992971,44674170400014
10162825,33526252300020
21510783,39223745900012
15983566,37750507800016
23493063,39875041400029
40700438,44908146200011
21245642,39163357500017
60623345,78142328001794
19997517,38875472300038
57955330,64595026200032
44822838,48238719800013
58952948,75148908900019
72812323,89161429900016
69279096,83635003300020
65448997,81162826200016
18363065,38309310100012
2743296,30603428100023
28656228,41292589300015
48477143,49540177000013
70047298,84246420800029
20938942,39090493600015
38753345,44268538400012
41037323,44985041100033
71560736,87860487500012
50321611,50364310800031
15711647,35398188900010
71569248,87867850700012
29010885,41379082500017
71748561,88013436600025
52702257,51538930200040
44183239,48050475200027
68591563,83127348700015
60862568,78322056900017
16178710,37798501500017
46476774,48932250300017
1683276,26780007600064
70339562,84446635900016
33363514,42815252400057
68280542,82950982700020
23529643,39883474700048
6541298,32382106600046
71692145,87968270600012
71634625,87920835300018
63434279,79994989600010
24168356,40024234300046
70101029,84283500100012
49895976,50188871300010
13582395,34858876500019
2987098,30759047100016
45861717,48749557400013
26047683,40454061900032
3219430,30929374400012
62268054,79264529300012
65598562,81235532900010
73138494,89467003300014
5133205,31836524400017
66390131,81796062800029
42054645,45216733100019
59189592,75255375000015
74189573,95520062100121
70780112,84965556800012
65464969,81170615900035
57148593,54207679928180
3453081,31049821701117
20142384,38907680300029
70201627,84352691400018
25005690,40216128500018
72968488,89305268800015
41316058,45049462000013
47698885,49304797100012
946326,21430122800034
62821792,79520092200016
35193221,43268220100012
49057926,49923860800016
53895069,52230548100023
37388926,43965252000016
53054465,51879688300016
21835625,39297279000019
27384287,40991518800018
69453744,83852608500025
45845699,48744883900026
5627929,32041387500016
36822191,43835594300012
14094154,34990432600015
36667908,43799782800029
1699215,26840117100049
68378235,83006737700010
71665059,87945526900016
68192570,82900335900017
5577294,32021313500025
43533617,47889094000024
40452979,44851376200030
42616198,45350452400019
65760638,81308062900013
53429920,52035029900019
53178389,51929305400010
72969814,89306630800014
55017413,52907271200019
62096847,79185443300012
13926454,34947342100015
51689519,51124003800014
68607107,83136012800019
67138151,82162787400018
60240647,77853059200014
32948976,42483366300034
27079220,40915329300017
72924554,89263885900017
33039700,42504524200012
72711731,89067052400010
55311329,53035243400019
38347282,44176325700017
63344936,79952581100011
70126578,84301402800016
19492256,38760011700056
47736165,49315459500018
35274464,43286628300018
43529112,47888010700022
51749478,51149093000027
48034651,49403733600018
70084879,84271972600015
64436432,80476593100014
26482677,40768071900017
29504468,41490397100011
27532402,41026056600014
44255885,48070776900018
36470242,43755457900049
9100250,33214332000015
73138058,89466603100014
69370168,83800587400014
67777710,82485249500020
56794697,53878636900016
67497502,82342701800010
53239079,51955025500011
58760016,75061376200012
37455298,43979828100010
1392533,25250823900024
70785513,84969567100016
53344292,51999032900012
172259,3919899900011
43274724,47826868300016
56054157,53362843400029
4552983,31577421600032
23840493,39950034700014
24434222,40085745400013
9622110,33371918500014
53237941,51954545300010
5409651,31952209000012
31666791,42191699000029
17142317,38025657800028
20790054,39055763500021
37675286,44027339900038
71346605,85402358700017
9550221,33351055000028
60326901,77920095500010
68287085,82954767800013
45996359,48787990000024
30918116,42024269500013
1653263,26670539100024
26878566,40865401000011
3010750,30777926400018
66821533,82006753600012
56233618,53441011300029
5580704,32022749900011
66411365,81806183000019
69471680,83864265000017
7504476,32716758100013
70621387,84848082800021
50852337,50777898300050
70954141,85097422100010
26526059,40778906400018
71784353,88044473200015
3889210,31266137400016
58384510,71206312200030
73655753,90171646400010
54629624,52540392900017
23969618,39979671300028
18429816,38324216100214
44905902,48264038000010
7017331,32548864100011
29734415,41667055200015
59721397,77562471100575
57660818,59131588200017
58687380,75029051200029
63272592,79919469100025
61868108,79080938800016
33998471,42966457600023
73038860,89371049100018
69041764,83398366100020
72689629,89045503300013
22036054,39342834700057
3115132,30866301200018
33400338,42824182200017
1621897,26580088800017
62191505,79229044700012
42294513,45273553300013
71667899,87947542400013
30540584,41938269200012
57863658,63201706700018
3681463,31167146500020
38200229,44142933900035
47660470,49293082100011
10224620,33751953200036
69906250,84149198800025
56349524,53490981700015
54816965,52820959600014
60771667,78253408500017
74312619,97581380900012
61667999,78990593200016
41559723,45105026400014
71803487,88060982100017
33160325,42661008500018
64604345,80749821700015
48178124,49448094000027
71490047,87803471900012
60774356,78255846400015
48094281,49422359700019
51795995,51168299900020
6581072,32395571600028
69554832,83917492700013
73289419,89801902100010
22347177,39412819300015
60847179,78310748500014
68446460,83045236300013
49683852,50119606700018
55375855,53063858400025
71905346,88146444000018
388327,8644076500021
34741664,43165756800660
68986523,83365282900015
61466883,78899171900014
33782136,42913963700012
15523835,35352152900043
64267809,80395228200017
28029593,41140516000010
56075185,53371723700010
50182386,50306482600020
27556731,41031143500029
24302475,40055243600018
25340674,40292337900018
56392094,53509878400015
27095430,40919046900018
64047171,80289207500010
60539884,78075822300025
15963601,37651222400019
63346094,79953095100018
1029711,21570337200031
11284840,34044266400074
67589512,82389500800014
48150791,49439613800013
27516540,41022770600018
8618513,33068331900025
52301434,51374962200017
72135026,88346013100013
60584260,78110692700028
64193194,80360070900023
44426537,48120899900039
39775332,44494186800010
9370613,33296111900010
57547795,57222875700017
71927348,88164599800017
67325638,82255853200013
42878139,45720588800029
70114105,84292517400018
66535013,81866542400011
13382259,34803621100012
72907906,89247834800014
51252745,50946168700014
55987150,53333852100024
60403662,77974275800013
56194929,53424050200011
60323569,77917115600010
67779335,82486089400016
103795,3876285200010
68376413,83005821000014
70971459,85110555100010
50619312,50487901600013
9032668,33193640100024
70757650,84948956200017
68392096,83014744300014
915380,21380185500437
17407410,38087438800032
19180697,38488369000032
71884489,88128949000016
11116454,33998435300021
22338651,39410923500017
56279342,53460712200015
58128749,67201957700028
53781582,52182162900024
12063515,34260931000012
47563356,49263994300025
14059860,34981655300011
66048396,81443118500010
32729879,42432489500012
24691406,40144793300011
28838697,41336814300025
60632373,78145251109898
18527838,38345356000013
71441735,87763653000017
52412348,51420316500014
25416598,40308761200012
29681377,41529897500012
72330883,88520008900013
69045472,83400563900010
71315946,85377131900011
3026866,30796457700018
50766665,50742101400014
17200950,38038861100010
71382377,86610422700016
67722064,82456329000017
71698229,87973024000014
41694276,45134648000028
